endTime;valence;danceability
05/06/2022 23:44;0.969;0.534
05/06/2022 23:44;0.783;0.756
05/06/2022 23:48;0.385;0.575
05/06/2022 23:51;0.777;0.683
05/06/2022 23:53;0.404;0.642
05/06/2022 23:53;0.848;0.748
05/06/2022 23:53;0.63;0.721
05/06/2022 23:53;0.809;0.608
05/06/2022 23:53;0.55;0.505
05/06/2022 23:53;0.378;0.592
05/06/2022 23:53;0.507;0.553
05/06/2022 23:53;0.65;0.425
05/06/2022 23:54;0.969;0.907
05/06/2022 23:54;0.817;0.604
05/06/2022 23:57;0.124;0.542
05/06/2022 23:57;0.784;0.543
05/06/2022 23:57;0.613;0.742
05/06/2022 23:57;0.802;0.604
05/06/2022 23:57;0.358;0.497
05/06/2022 23:59;0.816;0.401
06/06/2022 0:02;0.663;0.618
06/06/2022 0:05;0.619;0.775
06/06/2022 0:07;0.961;0.599
06/06/2022 1:31;0.619;0.775
06/06/2022 1:34;0.619;0.775
06/06/2022 1:37;0.6;0.629
06/06/2022 1:38;0.146;0.587
06/06/2022 1:42;0.66;0.783
06/06/2022 1:43;0.353;0.628
06/06/2022 1:43;0.737;0.66
06/06/2022 1:43;0.335;0.394
06/06/2022 1:45;0.335;0.394
06/06/2022 1:46;0.353;0.628
06/06/2022 1:50;0.455;0.395
06/06/2022 1:50;0.455;0.395
06/06/2022 1:50;0.576;0.518
06/06/2022 1:51;0.26;0.331
06/06/2022 1:51;0.576;0.518
06/06/2022 1:51;0.336;0.519
06/06/2022 1:51;0.336;0.519
06/06/2022 1:51;0.336;0.519
06/06/2022 1:55;0.336;0.519
06/06/2022 1:59;0.178;0.397
06/06/2022 2:04;0.228;0.392
06/06/2022 2:05;0.23;0.104
06/06/2022 2:08;0.206;0.209
06/06/2022 2:09;0.61;0.535
06/06/2022 2:11;0.141;0.344
06/06/2022 2:14;0.601;0.563
06/06/2022 2:14;0.393;0.545
06/06/2022 2:17;0.61;0.535
06/06/2022 2:22;0.649;0.593
06/06/2022 2:23;0.601;0.563
06/06/2022 16:15;0.756;0.746
06/06/2022 22:05;0.62;0.658
06/06/2022 22:05;0.261;0.611
06/06/2022 22:05;0.829;0.745
06/06/2022 22:06;0.347;0.689
06/06/2022 22:06;0.484;0.626
06/06/2022 22:08;0.909;0.78
06/06/2022 22:08;0.893;0.821
06/06/2022 22:08;0.477;0.372
06/06/2022 22:09;0.62;0.658
06/06/2022 22:09;0.127;0.479
06/06/2022 22:09;0.703;0.79
06/06/2022 22:09;0.895;0.76
06/06/2022 22:09;0.512;0.588
06/06/2022 22:09;0.925;0.811
06/06/2022 22:09;0.805;0.72
06/06/2022 22:09;0.31;0.332
06/06/2022 22:17;0.572;0.61
06/06/2022 22:17;0.16;0.4
06/06/2022 22:17;0.866;0.689
06/06/2022 22:17;0.888;0.636
06/06/2022 22:17;0.423;0.368
06/06/2022 22:17;0.476;0.745
06/06/2022 22:19;0.646;0.764
06/06/2022 22:19;0.751;0.732
06/06/2022 22:20;0.691;0.527
06/06/2022 22:20;0.375;0.4
06/06/2022 22:21;0.405;0.421
06/06/2022 22:22;0.0911;0.427
06/06/2022 22:25;0.0911;0.427
06/06/2022 22:26;0.0911;0.427
